id,safe,nudity,violence
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,0,1,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,0,0,1
15,1,0,0
16,0,1,0
17,0,1,0
18,0,1,0
19,1,0,0
20,1,0,0
21,0,1,0
22,1,0,0
23,1,0,0
24,1,0,0
25,1,0,0
26,1,0,0
27,0,1,0
28,1,0,0
29,0,1,0
30,0,1,0
31,0,1,0
32,1,0,0
33,1,0,0
34,1,0,0
35,0,1,0
36,0,0,1
37,1,0,0
38,1,0,0
39,0,1,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,0,1,0
45,1,0,0
46,1,0,0
47,1,0,0
48,0,1,0
49,1,0,0
50,0,1,0
51,1,0,0
52,0,1,0
53,1,0,0
54,1,0,0
55,1,0,0
56,1,0,0
57,0,1,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,0,1,0
63,0,1,0
64,1,0,0
65,1,0,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,1,0,0
71,0,1,0
72,0,1,0
73,1,0,0
74,1,0,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,1,0,0
80,0,1,0
81,0,1,0
82,1,0,0
83,0,1,0
84,1,0,0
85,1,0,0
86,0,1,0
87,0,1,0
88,1,0,0
89,1,0,0
90,1,0,0
91,0,1,0
92,0,1,0
93,0,1,0
94,1,0,0
95,1,0,0
96,0,1,0
97,1,0,0
98,0,1,0
99,0,1,0
100,0,1,0
101,0,1,0
102,1,0,0
103,0,1,0
104,1,0,0
105,1,0,0
106,0,1,0
107,0,1,0
108,0,1,0
109,1,0,0
110,0,1,0
111,1,0,0
112,1,0,0
113,0,1,0
114,1,0,0
115,1,0,0
116,1,0,0
117,0,1,0
118,0,1,0
119,0,1,0
120,1,0,0
121,0,1,0
122,1,0,0
123,0,1,0
124,0,1,0
125,1,0,0
126,0,1,0
127,0,1,0
128,1,0,0
129,1,0,0
130,0,1,0
131,0,1,0
132,0,1,0
133,0,1,0
134,1,0,0
135,0,1,0
136,0,1,0
137,1,0,0
138,0,1,0
139,0,1,0
140,0,1,0
141,0,1,0
142,1,0,0
143,0,1,0
144,0,1,0
145,1,0,0
146,1,0,0
147,1,0,0
148,1,0,0
149,0,1,0
150,1,0,0
151,1,0,0
152,0,1,0
153,0,1,0
154,0,1,0
155,1,0,0
156,1,0,0
157,1,0,0
158,0,1,0
159,1,0,0
160,0,1,0
161,0,1,0
162,1,0,0
163,0,1,0
164,1,0,0
165,1,0,0
166,0,1,0
167,0,1,0
168,1,0,0
169,0,1,0
170,0,1,0
171,0,0,1
172,1,0,0
173,1,0,0
174,0,1,0
175,0,1,0
176,0,1,0
177,1,0,0
178,1,0,0
179,1,0,0
180,0,1,0
181,0,1,0
182,1,0,0
183,1,0,0
184,0,1,0
185,1,0,0
186,0,1,0
187,0,1,0
188,0,1,0
189,0,1,0
190,0,1,0
191,0,1,0
192,1,0,0
193,0,1,0
194,0,1,0
195,1,0,0
196,0,1,0
197,0,1,0
198,0,1,0
199,0,1,0
200,0,1,0
201,0,1,0
202,1,0,0
203,1,0,0
204,0,1,0
205,1,0,0
206,1,0,0
207,0,1,0
208,1,0,0
209,0,1,0
210,0,1,0
211,1,0,0
212,1,0,0
213,0,1,0
214,1,0,0
215,0,1,0
216,1,0,0
217,0,1,0
218,1,0,0
219,1,0,0
220,1,0,0
221,0,1,0
222,1,0,0
223,1,0,0
224,1,0,0
225,1,0,0
226,0,1,0
227,1,0,0
228,1,0,0
229,0,1,0
230,1,0,0
231,1,0,0
232,1,0,0
233,1,0,0
234,0,1,0
235,1,0,0
236,1,0,0
237,1,0,0
238,1,0,0
239,0,1,0
240,1,0,0
241,0,1,0
242,0,1,0
243,1,0,0
244,0,1,0
245,0,1,0
246,1,0,0
247,1,0,0
248,0,1,0
249,0,1,0
250,1,0,0
251,1,0,0
252,0,1,0
253,1,0,0
254,0,1,0
255,1,0,0
256,0,1,0
257,0,1,0
258,0,1,0
259,1,0,0
260,1,0,0
261,1,0,0
262,0,1,0
263,0,1,0
264,0,1,0
265,1,0,0
266,1,0,0
267,0,1,0
268,1,0,0
269,0,1,0
270,0,1,0
271,1,0,0
272,1,0,0
273,1,0,0
274,0,1,0
275,1,0,0
276,0,1,0
277,0,1,0
278,0,1,0
279,0,1,0
280,1,0,0
281,1,0,0
282,1,0,0
283,0,1,0
284,1,0,0
285,0,1,0
286,0,1,0
287,0,1,0
288,1,0,0
289,1,0,0
290,0,1,0
291,0,1,0
292,1,0,0
293,0,1,0
294,1,0,0
295,1,0,0
296,0,1,0
297,1,0,0
298,0,1,0
299,0,1,0
300,0,1,0
301,0,1,0
302,1,0,0
303,0,1,0
304,0,1,0
305,1,0,0
306,0,1,0
307,1,0,0
308,1,0,0
309,1,0,0
310,0,1,0
311,0,1,0
312,0,1,0
313,1,0,0
314,0,1,0
315,0,1,0
316,0,1,0
317,0,1,0
318,0,1,0
319,0,0,1
320,0,1,0
321,1,0,0
322,1,0,0
323,1,0,0
324,1,0,0
325,0,1,0
326,1,0,0
327,0,1,0
328,1,0,0
329,0,1,0
330,0,1,0
331,0,1,0
332,1,0,0
333,1,0,0
334,0,1,0
335,1,0,0
336,1,0,0
337,0,1,0
338,1,0,0
339,0,1,0
340,1,0,0
341,0,1,0
342,1,0,0
343,1,0,0
344,0,1,0
345,1,0,0
346,0,1,0
347,0,1,0
348,1,0,0
349,0,1,0
350,1,0,0
351,0,1,0
352,0,1,0
353,1,0,0
354,1,0,0
355,0,1,0
356,0,1,0
357,1,0,0
358,1,0,0
359,0,1,0
360,0,1,0
361,1,0,0
362,1,0,0
363,0,1,0
364,1,0,0
365,0,1,0
366,0,1,0
367,1,0,0
368,0,1,0
369,0,1,0
370,1,0,0
371,1,0,0
372,1,0,0
373,0,0,1
374,0,1,0
375,0,1,0
376,0,1,0
377,0,1,0
378,1,0,0
379,1,0,0
380,1,0,0
381,1,0,0
382,1,0,0
383,1,0,0
384,0,1,0
385,1,0,0
386,0,1,0
387,1,0,0
388,1,0,0
389,1,0,0
390,1,0,0
391,0,1,0
392,1,0,0
393,0,1,0
394,0,1,0
395,0,1,0
396,1,0,0
397,1,0,0
398,1,0,0
399,0,1,0
400,1,0,0
401,0,1,0
402,1,0,0
403,0,1,0
404,0,1,0
405,0,1,0
406,0,1,0
407,0,1,0
408,1,0,0
409,1,0,0
410,0,1,0
411,0,1,0
412,1,0,0
413,1,0,0
414,0,1,0
415,0,1,0
